id_cliente,nombre,apellido,email,telefono,direccion
1,Eric,Villarreal,alexandramoore@brooks-morgan.com,981.011.8041x8180,"9092 Anthony Forge Apt. 722, Meyerbury, PA 95398"
2,Lauren,Foster,dennisanna@gmail.com,455.027.6270,"929 Joshua Streets, South Stephaniemouth, RI 51541"
3,Katie,Blanchard,craig66@martin-brown.biz,376.042.1123x076,"40362 Mercer Manor, Monicaborough, IL 47620"
4,Dawn,Stokes,harry96@gmail.com,7504526424,"99089 Murphy Port Suite 981, New Ashley, ID 85099"
5,Lisa,Smith,kthomas@macias-frank.com,+1-159-567-4265,"4537 Christine Road Apt. 385, West Mirandaberg, MD 52279"
6,David,Carlson,adamsjeremiah@williams.net,1356978049,"50052 Parsons Oval, Sarahland, MT 69932"
7,Douglas,Faulkner,uponce@snyder.com,901-610-5521x64447,"7594 Williams Field Suite 514, North Timothy, MD 99067"
8,Tim,Byrd,jacob09@hotmail.com,+1-689-472-3722x0802,"60218 Kathleen Centers, East Robert, WY 45270"
9,Scott,Obrien,brent59@barnes-mendoza.com,(021)101-6430,"77936 Page Pines, Josephborough, NH 65823"
10,William,Jones,julie22@nguyen.info,(444)160-8224,"31022 Angela Passage Apt. 422, Lake Donna, AL 05866"
11,Sara,Fry,jennifer80@gardner.biz,+1-860-067-3491x064,"12565 Coleman Views, Tracyton, KS 32252"
12,Erin,Harvey,dennis93@gmail.com,112.717.0763,"11089 Thompson Plains, Kendratown, ID 72636"
13,Jeffrey,Peters,bgonzalez@hotmail.com,001-122-769-1455x2146,"84005 Amy Grove Suite 185, Petersonhaven, MI 38933"
14,Pamela,Mccormick,michellesweeney@gmail.com,478-981-7408,"Unit 6611 Box 5139, DPO AE 13770"
15,Andre,Carlson,rachaelmurray@lucas.com,0384823963,"4962 Sanders Isle Suite 887, East Josephstad, IL 63584"
16,Keith,Torres,richardward@yahoo.com,036.876.8091x7416,"Unit 5476 Box 1950, DPO AP 57903"
17,Tom,Fox,evansdavid@ingram.net,647.819.4110x998,"4282 Ronald Green, Kyleburgh, NJ 93157"
18,Autumn,Anderson,kimberlywright@gmail.com,(712)263-5283x84432,"0008 Williams Locks, Craigchester, SC 87097"
19,Janice,Chavez,dixonkayla@jones.org,001-996-541-9342x627,"81102 Harris Unions Apt. 778, Kingfurt, KY 79402"
20,Sean,Franklin,huntjuan@cooper.com,4982092682,"518 Cox Neck, Munozburgh, NV 12795"
